burst,queue_size,rate,lost,error_lost,error_lost_abs,error_rate,error_rate_abs,actual_rate,rx_rate,traffic_ratio
12000,250000.0B,2000699.6851416864,0,0,0,0.00034984257084317503,0.00034984257084317503,1916430.0,2000000,1.0
7500,1250.0B,1064920.785646459,0,0,0,-0.46753960717677046,0.46753960717677046,9920.72,2000000,1.0
7500,5000.0B,1283822.2799740117,0,0,0,-0.35808886001299417,0.35808886001299417,1224510.0,2000000,1.0
37500,100000.0B,2000699.6851416864,0,0,0,0.00034984257084317503,0.00034984257084317503,1864170.0,2000000,1.0
150000,500000.0B,1999500.2248987956,0,0,0,-0.0002498875506022014,0.0002498875506022014,2263740.0,2000000,1.0
37500,6250.0B,1492328.4521965117,0,0,0,-0.25383577390174417,0.25383577390174417,1405520.0,2000000,1.0
1500,1250.0B,453795.79189364787,0,0,0,-0.773102104053176,0.773102104053176,4117.48,2000000,1.0
150000,6250.0B,1113898.7455644961,0,0,0,-0.4430506272177519,0.4430506272177519,1733580.0,2000000,1.0
37500,25000.0B,1969713.62886701,0,0,0,-0.015143185566495056,0.015143185566495056,1768810.0,2000000,1.0
12000,50000.0B,1996701.4843320507,0,0,0,-0.0016492578339746687,0.0016492578339746687,1835950.0,2000000,1.0
750,500000.0B,21590.284372032584,0,0,0,-0.9892048578139837,0.9892048578139837,77.8378,2000000,1.0
7500,15000.0B,1955120.1959118398,0,0,0,-0.02243990204408008,0.02243990204408008,1709290.0,2000000,1.0
750,50000.0B,21590.284372032584,0,0,0,-0.9892048578139837,0.9892048578139837,77.8378,2000000,1.0
750,500.0B,256884.40201909142,0,0,0,-0.8715577989904543,0.8715577989904543,926.126,2000000,1.0
7500,500000.0B,1999100.4048178322,0,0,0,-0.0004497975910839159,0.0004497975910839159,2145350.0,2000000,1.0
150000,50000.0B,1979109.4007696537,0,0,0,-0.010445299615173135,0.010445299615173135,1897030.0,2000000,1.0
12000,10000.0B,1799190.364336049,0,0,0,-0.10040481783197552,0.10040481783197552,1406740.0,2000000,1.0
4500,3750.0B,1041931.1309910541,0,0,0,-0.4790344345044729,0.4790344345044729,1030870.0,2000000,1.0
37500,125000.0B,2001499.3253036134,0,0,0,0.0007496626518067206,0.0007496626518067206,1884630.0,2000000,1.0
1500,500.0B,346644.0101954121,0,0,0,-0.8266779949022939,0.8266779949022939,1249.73,2000000,1.0
750,150000.0B,21590.284372032584,0,0,0,-0.9892048578139837,0.9892048578139837,77.8378,2000000,1.0
750,1250.0B,244889.7995901844,0,0,0,-0.8775551002049078,0.8775551002049078,882.883,2000000,1.0
1500,6250.0B,1738817.5321105504,0,0,0,-0.13059123394472477,0.13059123394472477,1396380.0,2000000,1.0
12000,5000.0B,959568.1943125594,0,0,0,-0.5202159028437203,0.5202159028437203,964382.0,2000000,1.0
750,15000.0B,21590.284372032584,0,0,0,-0.9892048578139837,0.9892048578139837,77.8378,2000000,1.0
750,7500.0B,21590.284372032584,0,0,0,-0.9892048578139837,0.9892048578139837,77.8378,2000000,1.0
750,175000.0B,21590.284372032584,0,0,0,-0.9892048578139837,0.9892048578139837,77.8378,2000000,1.0
4500,125000.0B,1977909.940526763,0,0,0,-0.01104502973661851,0.01104502973661851,1787050.0,2000000,1.0
4500,10000.0B,1933130.0914588436,0,0,0,-0.03343495427057822,0.03343495427057822,1657100.0,2000000,1.0
4500,100000.0B,1984906.7919436255,0,0,0,-0.007546604028187226,0.007546604028187226,1767020.0,2000000,1.0
150000,15000.0B,1590084.4619921036,0,0,0,-0.2049577690039482,0.2049577690039482,1626550.0,2000000,1.0
12000,15000.0B,1920735.668948973,0,0,0,-0.03963216552551347,0.03963216552551347,1549300.0,2000000,1.0
150000,7500.0B,1368184.3170573243,0,0,0,-0.3159078414713378,0.3159078414713378,1758560.0,2000000,1.0
4500,175000.0B,1985506.522065071,0,0,0,-0.007246738967464538,0.007246738967464538,1839380.0,2000000,1.0
7500,50000.0B,1989504.7228747066,0,0,0,-0.005247638562646695,0.005247638562646695,1833850.0,2000000,1.0
150000,250000.0B,2004697.885951322,0,0,0,0.0023489429756610187,0.0023489429756610187,2020620.0,2000000,1.0
150000,5000.0B,599730.1214453497,0,0,0,-0.7001349392773252,0.7001349392773252,1464130.0,2000000,1.0
750,25000.0B,21590.284372032584,0,0,0,-0.9892048578139837,0.9892048578139837,77.8378,2000000,1.0
4500,150000.0B,1978709.5806886903,0,0,0,-0.010645209655654849,0.010645209655654849,1799150.0,2000000,1.0
750,2500.0B,21590.284372032584,0,0,0,-0.9892048578139837,0.9892048578139837,77.8378,2000000,1.0
37500,10000.0B,1891548.8030386327,0,0,0,-0.05422559848068363,0.05422559848068363,1651550.0,2000000,1.0
37500,5000.0B,1526513.0691188965,0,0,0,-0.23674346544055175,0.23674346544055175,1337540.0,2000000,1.0
37500,500.0B,346644.0101954121,0,0,0,-0.8266779949022939,0.8266779949022939,1249.73,2000000,1.0
37500,2500.0B,599730.1214453497,0,0,0,-0.7001349392773252,0.7001349392773252,891330.0,2000000,1.0
37500,200000.0B,1985306.612024589,0,0,0,-0.007346693987705512,0.007346693987705512,1913880.0,2000000,1.0
4500,250000.0B,1991903.643360488,0,0,0,-0.004048178319756058,0.004048178319756058,1992580.0,2000000,1.0
1500,3750.0B,911189.9645159679,0,0,0,-0.5444050177420161,0.5444050177420161,1004150.0,2000000,1.0
7500,100000.0B,2000499.7751012044,0,0,0,0.0002498875506022014,0.0002498875506022014,1858480.0,2000000,1.0
150000,10000.0B,1254635.4140636714,0,0,0,-0.3726822929681643,0.3726822929681643,1608250.0,2000000,1.0
7500,6250.0B,1885751.4118646611,0,0,0,-0.057124294067669425,0.057124294067669425,1545770.0,2000000,1.0
150000,3750.0B,599730.1214453497,0,0,0,-0.7001349392773252,0.7001349392773252,1506400.0,2000000,1.0
750,100000.0B,21590.284372032584,0,0,0,-0.9892048578139837,0.9892048578139837,77.8378,2000000,1.0
1500,100000.0B,1974111.6497576092,0,0,0,-0.012944175121195382,0.012944175121195382,1762250.0,2000000,1.0
12000,25000.0B,1939527.2127542607,0,0,0,-0.030236393622869624,0.030236393622869624,1656510.0,2000000,1.0
12000,150000.0B,1984706.8819031436,0,0,0,-0.0076465590484282005,0.0076465590484282005,1839880.0,2000000,1.0
150000,150000.0B,1991303.9132390425,0,0,0,-0.004348043380478746,0.004348043380478746,2076620.0,2000000,1.0
1500,8750.0B,1908141.3363986206,0,0,0,-0.045929331800689685,0.045929331800689685,1534470.0,2000000,1.0
750,250000.0B,21590.284372032584,0,0,0,-0.9892048578139837,0.9892048578139837,77.8378,2000000,1.0
750,10000.0B,21590.284372032584,0,0,0,-0.9892048578139837,0.9892048578139837,77.8378,2000000,1.0
4500,6250.0B,1815582.9876555551,0,0,0,-0.09220850617222244,0.09220850617222244,1383130.0,2000000,1.0
37500,15000.0B,1925533.5099205358,0,0,0,-0.03723324503973208,0.03723324503973208,1595480.0,2000000,1.0
12000,125000.0B,2006696.9863561399,0,0,0,0.003348493178069941,0.003348493178069941,1862770.0,2000000,1.0
37500,175000.0B,1987105.802388925,0,0,0,-0.006447098805537448,0.006447098805537448,1902050.0,2000000,1.0
1500,125000.0B,1975710.9300814634,0,0,0,-0.01214453495926829,0.01214453495926829,1782420.0,2000000,1.0
12000,2500.0B,935179.1693737819,0,0,0,-0.5324104153131091,0.5324104153131091,1041780.0,2000000,1.0
7500,500.0B,346644.0101954121,0,0,0,-0.8266779949022939,0.8266779949022939,1249.73,2000000,1.0
750,125000.0B,21590.284372032584,0,0,0,-0.9892048578139837,0.9892048578139837,77.8378,2000000,1.0
4500,15000.0B,1891548.8030386327,0,0,0,-0.05422559848068363,0.05422559848068363,1460670.0,2000000,1.0
7500,125000.0B,2003498.4257084313,0,0,0,0.0017492128542156424,0.0017492128542156424,1857860.0,2000000,1.0
12000,100000.0B,1999100.4048178322,0,0,0,-0.0004497975910839159,0.0004497975910839159,1864200.0,2000000,1.0
150000,500.0B,346644.0101954121,0,0,0,-0.8266779949022939,0.8266779949022939,1249.73,2000000,1.0
4500,200000.0B,1983907.2417412165,0,0,0,-0.008046379129391745,0.008046379129391745,1755290.0,2000000,1.0
7500,175000.0B,1987905.4425508522,0,0,0,-0.006047278724573901,0.006047278724573901,1834630.0,2000000,1.0
1500,2500.0B,583737.318206807,0,0,0,-0.7081313408965965,0.7081313408965965,587183.0,2000000,1.0
7500,7500.0B,1560097.9559198362,0,0,0,-0.2199510220400819,0.2199510220400819,1193150.0,2000000,1.0
750,8750.0B,21590.284372032584,0,0,0,-0.9892048578139837,0.9892048578139837,77.8378,2000000,1.0
150000,175000.0B,1987905.4425508522,0,0,0,-0.006047278724573901,0.006047278724573901,2019670.0,2000000,1.0
37500,3750.0B,599730.1214453497,0,0,0,-0.7001349392773252,0.7001349392773252,928521.0,2000000,1.0
7500,200000.0B,1995701.9341296419,0,0,0,-0.0021490329351790717,0.0021490329351790717,1890650.0,2000000,1.0
150000,100000.0B,1998700.5847368685,0,0,0,-0.0006497076315657469,0.0006497076315657469,1963870.0,2000000,1.0
150000,1250.0B,1580088.9599680144,0,0,0,-0.2099555200159928,0.2099555200159928,13769.4,2000000,1.0
4500,8750.0B,1934729.371782698,0,0,0,-0.03263531410865102,0.03263531410865102,1551790.0,2000000,1.0
750,200000.0B,21590.284372032584,0,0,0,-0.9892048578139837,0.9892048578139837,77.8378,2000000,1.0
4500,5000.0B,1152681.293417962,0,0,0,-0.423659353291019,0.423659353291019,1040180.0,2000000,1.0
1500,15000.0B,1879154.3805287622,0,0,0,-0.06042280973561888,0.06042280973561888,1450000.0,2000000,1.0
150000,125000.0B,1989304.8128342247,0,0,0,-0.005347593582887668,0.005347593582887668,1965860.0,2000000,1.0
1500,25000.0B,1967514.6184217103,0,0,0,-0.016242690789144837,0.016242690789144837,1716570.0,2000000,1.0
37500,250000.0B,1993303.0136438604,0,0,0,-0.003348493178069824,0.003348493178069824,1822270.0,2000000,1.0
7500,150000.0B,1981508.3212554352,0,0,0,-0.009245839372282382,0.009245839372282382,1834530.0,2000000,1.0
4500,25000.0B,1968314.2585836374,0,0,0,-0.01584287070818129,0.01584287070818129,1729290.0,2000000,1.0
37500,7500.0B,1338997.451146984,0,0,0,-0.330501274426508,0.330501274426508,1295340.0,2000000,1.0
